No.;Time;;Time 1;Time 2;Delay;Total Delay;Rata Rata delay;Delay 1;Delay 2;Jitter;Total Jitter;Rata rata jiter
225;16,903858;;16,903858;16,903859;1,00E-06;;;-0,000676;-0,000887;-0,000211;;
226;16,903859;;16,903859;16,904536;0,000677;;;-0,000887;-0,003566;-0,002679;;
227;16,904536;;16,904536;16,9061;0,001564;;;-0,003566;0,005129;0,008695;;
228;16,9061;;16,9061;16,91123;0,00513;;;0,005129;-0,000521;-0,00565;;
229;16,91123;;16,91123;16,911231;1,00E-06;;;-0,000521;-0,003884;-0,003363;;
230;16,911231;;16,911231;16,911753;0,000522;;;-0,003884;0,00378;0,007664;;
231;16,911753;;16,911753;16,916159;0,004406;;;0,00378;-0,0035;-0,00728;;
232;16,916159;;16,916159;16,916785;0,000626;;;-0,0035;0,0036;0,0071;;
233;16,916785;;16,916785;16,920911;0,004126;;;0,0036;0,000193;-0,003407;;
234;16,920911;;16,920911;16,921437;0,000526;;;0,000193;-0,000851;-0,001044;;
235;16,921437;;16,921437;16,92177;0,000333;;;-0,000851;0,00118;0,002031;;
236;16,92177;;16,92177;16,922954;0,001184;;;0,00118;-0,000458;-0,001638;;
237;16,922954;;16,922954;16,922958;4,00E-06;;;-0,000458;-0,00544;-0,004982;;
238;16,922958;;16,922958;16,92342;0,000462;;;-0,00544;0,005901;0,011341;;
239;16,92342;;16,92342;16,929322;0,005902;;;0,005901;-0,00064;-0,006541;;
240;16,929322;;16,929322;16,929323;1,00E-06;;;-0,00064;0,000376;0,001016;;
241;16,929323;;16,929323;16,929964;0,000641;;;0,000376;-0,000364;-0,00074;;
242;16,929964;;16,929964;16,930229;0,000265;;;-0,000364;-0,008417;-0,008053;;
243;16,930229;;16,930229;16,930858;0,000629;;;-0,008417;0,008607;0,017024;;
244;16,930858;;16,930858;16,939904;0,009046;;;0,008607;-0,007432;-0,016039;;
245;16,939904;;16,939904;16,940343;0,000439;;;-0,007432;0,007563;0,014995;;
246;16,940343;;16,940343;16,948214;0,007871;;;0,007563;0,000137;-0,007426;;
247;16,948214;;16,948214;16,948522;0,000308;;;0,000137;-0,00054;-0,000677;;
248;16,948522;;16,948522;16,948693;0,000171;;;-0,00054;-0,002921;-0,002381;;
249;16,948693;;16,948693;16,949404;0,000711;;;-0,002921;0,003398;0,006319;;
250;16,949404;;16,949404;16,953036;0,003632;;;0,003398;0,000232;-0,003166;;
251;16,953036;;16,953036;16,95327;0,000234;;;0,000232;-0,000487;-0,000719;;
252;16,95327;;16,95327;16,953272;2,00E-06;;;-0,000487;-0,000397;9,00E-05;;
253;16,953272;;16,953272;16,953761;0,000489;;;-0,000397;-0,002911;-0,002514;;
254;16,953761;;16,953761;16,954647;0,000886;;;-0,002911;0,003306;0,006217;;
255;16,954647;;16,954647;16,958444;0,003797;;;0,003306;-3,50E-05;-0,003341;;
256;16,958444;;16,958444;16,958935;0,000491;;;-3,50E-05;0,000143;0,000178;;
257;16,958935;;16,958935;16,959461;0,000526;;;0,000143;-0,004478;-0,004621;;
258;16,959461;;16,959461;16,959844;0,000383;;;-0,004478;0,004348;0,008826;;
259;16,959844;;16,959844;16,964705;0,004861;;;0,004348;-0,020145;-0,024493;;
260;16,964705;;16,964705;16,965218;0,000513;;;-0,020145;0,020656;0,040801;;
261;16,965218;;16,965218;16,985876;0,020658;;;0,020656;-0,000186;-0,020842;;
262;16,985876;;16,985876;16,985878;2,00E-06;;;-0,000186;-0,000128;5,80E-05;;
263;16,985878;;16,985878;16,986066;0,000188;;;-0,000128;-0,008964;-0,008836;;
264;16,986066;;16,986066;16,986382;0,000316;;;-0,008964;0,009278;0,018242;;
265;16,986382;;16,986382;16,995662;0,00928;;;0,009278;-0,001072;-0,01035;;
266;16,995662;;16,995662;16,995664;2,00E-06;;;-0,001072;-8,50E-05;0,000987;;
267;16,995664;;16,995664;16,996738;0,001074;;;-8,50E-05;0,001158;0,001243;;
268;16,996738;;16,996738;16,997897;0,001159;;;0,001158;-0,000604;-0,001762;;
269;16,997897;;16,997897;16,997898;1,00E-06;;;-0,000604;-0,010297;-0,009693;;
270;16,997898;;16,997898;16,998503;0,000605;;;-0,010297;0,010896;0,021193;;
271;16,998503;;16,998503;17,009405;0,010902;;;0,010896;5,00E-06;-0,010891;;
272;17,009405;;17,009405;17,009411;6,00E-06;;;5,00E-06;3,55E-15;-5,00E-06;;
273;17,009411;;17,009411;17,009412;1,00E-06;;;3,55E-15;-1,00E-06;-1,00E-06;;
274;17,009412;;17,009412;17,009413;1,00E-06;;;-1,00E-06;-0,000707;-0,000706;;
275;17,009413;;17,009413;17,009415;2,00E-06;;;-0,000707;-0,00571;-0,005003;;
276;17,009415;;17,009415;17,010124;0,000709;;;-0,00571;0,005763;0,011473;;
277;17,010124;;17,010124;17,016543;0,006419;;;0,005763;-0,001669;-0,007432;;
278;17,016543;;17,016543;17,017199;0,000656;;;-0,001669;0,001911;0,00358;;
279;17,017199;;17,017199;17,019524;0,002325;;;0,001911;-0,009047;-0,010958;;
280;17,019524;;17,019524;17,019938;0,000414;;;-0,009047;0,009454;0,018501;;
281;17,019938;;17,019938;17,029399;0,009461;;;0,009454;-0,000607;-0,010061;;
282;17,029399;;17,029399;17,029406;7,00E-06;;;-0,000607;-0,006009;-0,005402;;
283;17,029406;;17,029406;17,03002;0,000614;;;-0,006009;0,006621;0,01263;;
284;17,03002;;17,03002;17,036643;0,006623;;;0,006621;0;-0,006621;;
285;17,036643;;17,036643;17,036645;2,00E-06;;;0;-0,000758;-0,000758;;
286;17,036645;;17,036645;17,036647;2,00E-06;;;-0,000758;-0,000223;0,000535;;
287;17,036647;;17,036647;17,037407;0,00076;;;-0,000223;0,000981;0,001204;;
288;17,037407;;17,037407;17,03839;0,000983;;;0,000981;-0,000748;-0,001729;;
289;17,03839;;17,03839;17,038392;2,00E-06;;;-0,000748;-0,00303;-0,002282;;
290;17,038392;;17,038392;17,039142;0,00075;;;-0,00303;0,003323;0,006353;;
291;17,039142;;17,039142;17,042922;0,00378;;;0,003323;-0,008603;-0,011926;;
292;17,042922;;17,042922;17,043379;0,000457;;;-0,008603;0,009058;0,017661;;
293;17,043379;;17,043379;17,052439;0,00906;;;0,009058;-0,000205;-0,009263;;
294;17,052439;;17,052439;17,052441;2,00E-06;;;-0,000205;-0,000131;7,40E-05;;
295;17,052441;;17,052441;17,052648;0,000207;;;-0,000131;-0,0136;-0,013469;;
